#Grid-Scan using Optidos
#Timet: 13-11-18-13:12:31
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
27.4;27.1;0.9;0.01007;0;0
27.4;27.1;1.2;0.007642;0;0
27.4;27.1;1.5;0.005786;0;0
27.4;27.1;1.8;0.004327;0;0
27.4;27.1;2.1;0.003238;0;0
27.4;27.1;2.4;0.002415;0;0
27.4;27.1;2.7;0.001751;0;0
27.4;27.1;3;0.001279;0;0
27.4;27.1;3.3;0.000913;1;0
27.4;27.1;3.6;0.000646;1;0
27.4;27.1;3.9;0.000455;2;0
27.4;27.1;4.2;0.000307;2;0
27.4;27.1;4.5;0.000204;2;0
27.4;27.1;4.8;0.000133;2;0
27.4;27.1;5.1;0.000087;2;0
27.4;27.1;5.4;0.000054;2;0
27.4;27.1;5.7;0.000032;2;0
27.4;27.1;6;0.00002;2;0
26.4;27.1;6;0.00002;2;0
26.4;27.1;5.7;0.000034;2;0
26.4;27.1;5.4;0.000051;2;0
26.4;27.1;5.1;0.000087;2;0
26.4;27.1;4.8;0.000136;2;0
26.4;27.1;4.5;0.000194;2;0
26.4;27.1;4.2;0.000298;2;0
26.4;27.1;3.9;0.000438;2;0
26.4;27.1;3.6;0.000649;1;0
26.4;27.1;3.3;0.000911;1;0
26.4;27.1;3;0.001275;0;0
26.4;27.1;2.7;0.001767;0;0
26.4;27.1;2.4;0.00239;0;0
26.4;27.1;2.1;0.003239;0;0
26.4;27.1;1.8;0.004306;0;0
26.4;27.1;1.5;0.005736;0;0
26.4;27.1;1.2;0.007599;0;0
26.4;27.1;0.9;0.01003;0;0
26.4;27.1;0.6;0.01324;0;0
26.4;27.1;0.3;0.01746;0;0
26.4;27.1;0;0.02307;0;0
25.4;27.1;0;0.01602;0;0
25.4;27.1;0.3;0.01259;0;0
25.4;27.1;0.6;0.009802;0;0
25.4;27.1;0.9;0.007604;0;0
25.4;27.1;1.2;0.005869;0;0
25.4;27.1;1.5;0.004523;0;0
25.4;27.1;1.8;0.003445;0;0
25.4;27.1;2.1;0.002617;0;0
25.4;27.1;2.4;0.001918;0;0
25.4;27.1;2.7;0.001432;0;0
25.4;27.1;3;0.001055;0;0
25.4;27.1;3.3;0.000756;1;0
25.4;27.1;3.6;0.00054;1;0
25.4;27.1;3.9;0.000369;2;0
25.4;27.1;4.2;0.000253;2;0
25.4;27.1;4.5;0.000168;2;0
25.4;27.1;4.8;0.000104;2;0
25.4;27.1;5.1;0.000066;2;0
25.4;27.1;5.4;0.000047;2;0
25.4;27.1;5.7;0.000029;2;0
25.4;27.1;6;0.000019;2;0
24.4;27.1;6;0.000011;2;0
24.4;27.1;5.7;0.00002;2;0
24.4;27.1;5.4;0.000028;2;0
24.4;27.1;5.1;0.000044;2;0
24.4;27.1;4.8;0.00007;2;0
24.4;27.1;4.5;0.000105;2;0
24.4;27.1;4.2;0.000157;2;0
24.4;27.1;3.9;0.000237;2;0
24.4;27.1;3.6;0.000336;2;0
24.4;27.1;3.3;0.000487;2;0
24.4;27.1;3;0.000657;1;0
24.4;27.1;2.7;0.000899;1;0
24.4;27.1;2.4;0.0012;0;0
24.4;27.1;2.1;0.001577;0;0
24.4;27.1;1.8;0.002061;0;0
24.4;27.1;1.5;0.002641;0;0
24.4;27.1;1.2;0.00336;0;0
24.4;27.1;0.9;0.004184;0;0
24.4;27.1;0.6;0.005174;0;0
24.4;27.1;0.3;0.006285;0;0
24.4;27.1;0;0.00752;0;0
24.4;28.1;0;0.005334;0;0
24.4;28.1;0.3;0.004628;0;0
24.4;28.1;0.6;0.003908;0;0
24.4;28.1;0.9;0.00325;0;0
24.4;28.1;1.2;0.002644;0;0
24.4;28.1;1.5;0.002115;0;0
24.4;28.1;1.8;0.001665;0;0
24.4;28.1;2.1;0.001301;0;0
24.4;28.1;2.4;0.000982;0;0
24.4;28.1;2.7;0.000733;1;0
24.4;28.1;3;0.000546;1;0
24.4;28.1;3.3;0.000397;2;0
24.4;28.1;3.6;0.000284;2;0
24.4;28.1;3.9;0.0002;2;0
24.4;28.1;4.2;0.000135;2;0
24.4;28.1;4.5;0.000093;2;0
24.4;28.1;4.8;0.000058;2;0
24.4;28.1;5.1;0.000037;2;0
24.4;28.1;5.4;0.000023;2;0
24.4;28.1;5.7;0.000016;2;0
24.4;28.1;6;0.00001;2;0
25.4;28.1;6;0.000016;2;0
25.4;28.1;5.7;0.000022;2;0
25.4;28.1;5.4;0.000036;2;0
25.4;28.1;5.1;0.000057;2;0
25.4;28.1;4.8;0.000088;2;0
25.4;28.1;4.5;0.000134;2;0
25.4;28.1;4.2;0.000201;2;0
25.4;28.1;3.9;0.000297;2;0
25.4;28.1;3.6;0.000428;2;0
25.4;28.1;3.3;0.000602;1;0
25.4;28.1;3;0.000833;1;0
25.4;28.1;2.7;0.001132;0;0
25.4;28.1;2.4;0.001525;0;0
25.4;28.1;2.1;0.002034;0;0
25.4;28.1;1.8;0.002688;0;0
25.4;28.1;1.5;0.003463;0;0
25.4;28.1;1.2;0.00444;0;0
25.4;28.1;0.9;0.005664;0;0
25.4;28.1;0.6;0.007157;0;0
25.4;28.1;0.3;0.008915;0;0
25.4;28.1;0;0.01103;0;0
26.4;28.1;0;0.01603;0;0
26.4;28.1;0.3;0.01262;0;0
26.4;28.1;0.6;0.009819;0;0
26.4;28.1;0.9;0.007651;0;0
26.4;28.1;1.2;0.005923;0;0
26.4;28.1;1.5;0.004527;0;0
26.4;28.1;1.8;0.003444;0;0
26.4;28.1;2.1;0.002609;0;0
26.4;28.1;2.4;0.001945;0;0
26.4;28.1;2.7;0.00144;0;0
26.4;28.1;3;0.001069;0;0
26.4;28.1;3.3;0.000756;1;0
26.4;28.1;3.6;0.000539;1;0
26.4;28.1;3.9;0.000364;2;0
26.4;28.1;4.2;0.000253;2;0
26.4;28.1;4.5;0.000169;2;0
26.4;28.1;4.8;0.000112;2;0
26.4;28.1;5.1;0.000068;2;0
26.4;28.1;5.4;0.000045;2;0
26.4;28.1;5.7;0.00003;2;0
26.4;28.1;6;0.000019;2;0
27.4;28.1;6;0.000019;2;0
27.4;28.1;5.7;0.000028;2;0
27.4;28.1;5.4;0.000043;2;0
27.4;28.1;5.1;0.000066;2;0
27.4;28.1;4.8;0.000109;2;0
27.4;28.1;4.5;0.000161;2;0
27.4;28.1;4.2;0.000245;2;0
27.4;28.1;3.9;0.000363;2;0
27.4;28.1;3.6;0.000508;1;0
27.4;28.1;3.3;0.000742;1;0
27.4;28.1;3;0.00102;0;0
27.4;28.1;2.7;0.001389;0;0
27.4;28.1;2.4;0.001885;0;0
27.4;28.1;2.1;0.002518;0;0
27.4;28.1;1.8;0.003356;0;0
27.4;28.1;1.5;0.004381;0;0
27.4;28.1;1.2;0.00572;0;0
27.4;28.1;0.9;0.007366;0;0
27.4;28.1;0.6;0.009476;0;0
27.4;28.1;0.3;0.01214;0;0
27.4;28.1;0;0.01551;0;0
28.4;28.1;0;0.01013;0;0
28.4;28.1;0.3;0.008359;0;0
28.4;28.1;0.6;0.006746;0;0
28.4;28.1;0.9;0.005394;0;0
28.4;28.1;1.2;0.004259;0;0
28.4;28.1;1.5;0.003374;0;0
28.4;28.1;1.8;0.002569;0;0
28.4;28.1;2.1;0.001997;0;0
28.4;28.1;2.4;0.00152;0;0
28.4;28.1;2.7;0.001128;0;0
